,Dimension,TagSet,hasSynonym
407,Point>Sensor>Speed Sensor>Differential Speed Sensor,Return Fan Differential Speed Sensor,
408,Point>Sensor>Temperature Sensor,Cold Box Temperature Sensor,
409,Point>Sensor>Temperature Sensor,Condensor Temperature Sensor,
410,Point>Sensor>Temperature Sensor,CRAC Temperature Sensor,
411,Point>Sensor>Temperature Sensor,Discharge Air Temperature Sensor,Supply Air Temperature Sensor
412,Point>Sensor>Temperature Sensor,Drive Temperature Sensor,
413,Point>Sensor>Temperature Sensor,Differential Temperature Sensor,
414,Point>Sensor>Temperature Sensor,Environment Box Temperature Sensor,
415,Point>Sensor>Temperature Sensor,Exhaust Air Temperature Sensor,
416,Point>Sensor>Temperature Sensor,Freezer Temperature Sensor,
417,Point>Sensor>Temperature Sensor,Hot Box Temperature Sensor,
418,Point>Sensor>Temperature Sensor,Mixed Air Temperature Sensor,
419,Point>Sensor>Temperature Sensor,Outside Air Temperature Sensor,
420,Point>Sensor>Temperature Sensor,Return Air Temperature Sensor,
421,Point>Sensor>Temperature Sensor,Room Temperature Sensor,
422,Point>Sensor>Temperature Sensor,Underfloor Temperature Sensor,
423,Point>Sensor>Temperature Sensor,Water Supply Temperature Sensor,Water Discharge Temperature Sensor
424,Point>Sensor>Temperature Sensor,Zone Air Temperature Sensor,
425,Point>Sensor>Temperature Sensor,Zone Temperature Sensor,
426,Point>Sensor>Temperature Sensor,Chilled Water Temperature Differential Sensor,
427,Point>Sensor>Temperature Sensor,Low Outside Air Temperature Enable Differential Sensor,
428,Point>Sensor>Temperature Sensor,Outside Air Lockout Temperature Differential Sensor,
429,Point>Sensor>Temperature Sensor,Cooling Coil Discharge Air Temperature Sensor,Cooling Coil Supply Air Temperature Sensor
430,Point>Sensor>Temperature Sensor,Heat Wheel Discharge Air Temperature Sensor,Heat Wheel Supply Air Temperature Sensor
431,Point>Sensor>Temperature Sensor,Preheat Discharge Air Temperature Sensor,Preheat Supply Air Temperature Sensor
432,Point>Sensor>Temperature Sensor>Entering Water Temperature Sensor,Hot Water Coil Entering Temperature Sensor,
433,Point>Sensor>Temperature Sensor>Entering Water Temperature Sensor,Ice Tank Entering Water Temperature Sensor,
434,Point>Sensor>Temperature Sensor>Entering Water Temperature Sensor,PreHeat Coil Entering Air Temperature Sensor,
435,Point>Sensor>Temperature Sensor>Leaving Water Temperature Sensor,Ice Tank Leaving Water Temperature Sensor,
436,Point>Sensor>Temperature Sensor>Leaving Water Temperature Sensor,PreHeat Coil Leaving Water Temperature Sensor,
437,Point>Sensor>Temperature Sensor>Return Water Temperature Sensor,Chilled Water Return Temperature Sensor,
